experiment,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,cv_mean,cv_std,gap
word_svc_balanced,0.735,0.7333357484058005,0.49595959595959593,0.4524742895332715,0.7749280361545018,0.007660409731897337,0.280861458872529
combined_features,0.74,0.7328137588582515,0.4909090909090909,0.43867449060407515,0.7829831959576566,0.01022743674836517,0.29413926825417636
word_lr_tri_gram,0.737,0.7306958593720401,0.49595959595959593,0.45830989529364163,0.7759372142859318,0.007907133596516944,0.27238596407839843
voting_ensemble,0.734,0.7289873500260824,0.49427609427609426,0.45143384161337924,,,0.27755350841270315
word_lr_higher_c,0.731,0.7263030872808263,0.5077441077441077,0.47497417275428716,0.7648936053053845,0.006330333910563187,0.2513289145265391
word_lr_balanced,0.723,0.7213478715303032,0.4703703703703704,0.40900950544152087,0.7834018512092291,0.007968781300531002,0.31233836608878235
char_wider_range,0.723,0.7159996760140708,0.4983164983164983,0.4495514863963229,0.773690197437407,0.003533780444685366,0.26644818961774785
word_lr_l2_strong,0.701,0.6567633124751039,0.5215488215488215,0.5177092052898776,0.6432796608651273,0.010968840826915445,0.13905410718522626
