experiment,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,cv_mean,cv_std
word_svc_strong_reg,0.745,0.7349203461628421,0.49932659932659934,0.4641460296375334,0.7935735707652096,0.008901195829574327
combined_word_char,0.741,0.7318215940565866,0.47744107744107744,0.42117360572537643,0.7789385470577485,0.008927389405543069
ensemble_top3,0.735,0.7247471049108233,0.4808080808080808,0.4272773520603429,,
char_svc_strong_reg,0.724,0.7134361087115423,0.4781144781144781,0.4232535739861616,0.7829794894022446,0.009072496995527368
word_lr_strong_reg,0.727,0.7129817412230763,0.4936026936026936,0.4619837398373984,0.7717267323687766,0.007786216984033301
word_lr_l1_reg,0.71,0.6886260463238547,0.45555555555555555,0.4112196452598639,0.7370671918669436,0.009321777225410223
